model,protocol,RMSE_log,R2,MAPE_pct,PICP95_pct
physics,LOCO,0.348898107742374,0.823449080127619,54.6400774220166,NaN
mlr,LOCO,0.211416032354356,0.935174094332611,38.9718818231903,NaN
gbt,LOCO,0.148852424830287,0.967864535326032,28.3410942506276,NaN
gpr,LOCO,0.470895783891812,0.678395319470629,116.324809582203,90.521327014218
hybrid,LOCO,0.312147150374241,0.858683944801035,46.3365754373797,63.9810426540284
physics,LOTO-55C,0.236751315466962,0.907451626058945,60.5314163339173,NaN
mlr,LOTO-55C,0.21747087620562,0.921911658381172,54.9160296364674,NaN
gbt,LOTO-55C,0.309388374140516,0.841950920205271,100.24002540409,NaN
gpr,LOTO-55C,0.260192365703512,0.888217687273448,72.392733734872,100
hybrid,LOTO-55C,0.1997772722315,0.934101405940058,50.6267707271332,31.4285714285714
hybrid_conformal,LOTO-55C,0.1997772722315,0.934101405940058,NaN,72.8571428571428
