inhibited,T_C,Nf_pchip_median,Nf_param_lo,Nf_param_hi,Nf_form_min,Nf_form_max
0,45,973394.348117691,893138.407132765,1048357.95055392,851887.581786729,975758.857357507
0,65,826712.058639456,754747.97812789,916449.97385047,703589.759575303,834130.24683067
1,45,1334611.75116061,1178802.13910253,1637481.0884095,1090299.22626637,1326687.20536693
1,65,1213796.77572924,1079049.03195646,1477607.46568792,956767.887118008,1210403.44015262
