T_C,dK,eta_pct,eta_lo,eta_hi
25,4.10963749732159,21.2823991689887,5.77686822580547,30.5301198191383
25,4.22661982354933,21.951165273443,6.81551241047099,31.0684673086601
25,4.34693209424506,22.3657121216678,7.77703126148095,30.9636098509706
25,4.47066909748932,22.9161879424082,8.08575512705536,31.0423597702583
25,4.59792831953984,23.0727047125067,8.06997683103586,32.0294448020196
25,4.72881002163612,22.2391996470923,7.88306403389391,31.4467381040022
25,4.86341731899035,20.5722473603468,7.67354484151021,30.8403189062167
25,5.00185626202671,18.6214847178525,7.64961860561818,29.9885399171046
25,5.14423591993328,17.0627008549714,7.76653308155879,29.4994824406072
25,5.29066846659227,16.5072661270765,7.96279723962643,28.9388329310086
25,5.44126926895625,16.8221641722319,8.26565079852504,28.3042997046589
25,5.59615697794004,17.4014715724168,8.15906582236579,27.5933398358447
25,5.75545362189992,17.8139608975154,8.67703826091526,26.3690097955085
25,5.91928470277373,17.9880014598019,8.22157097534674,25.1644216650495
25,6.0877792949576,17.8316505173571,8.34131683686498,24.2481631532588
25,6.26107014699732,17.4109715149534,8.98743352154888,23.6831364377321
25,6.43929378617429,16.520354964566,8.34041525852145,22.897934651201
25,6.62259062606867,14.6417717530528,7.80000803788231,22.6947490849271
25,6.81110507718424,10.8339306255104,7.91176758981323,22.0910114727158
25,7.0049856607223,8.27244791742228,7.49498049944747,21.250391575767
25,7.20438512559416,8.78785090221425,8.23093982172061,20.7048857489101
25,7.40946056876447,10.3903287513252,8.47957285099394,20.3592176310224
25,7.6203735590201,11.8718401469176,7.83806800466713,20.5805341655283
25,7.83729026426224,13.4956760410127,7.33178945057419,21.5814791907283
25,8.06038158242179,14.2945085702743,6.85606028559599,21.646990826886
25,8.28982327610146,15.2324804911772,5.93592189755431,22.4890292782544
25,8.52579611105035,16.1558193356634,6.07424822259638,23.0774555122919
25,8.76848599858036,15.8741406097869,5.88427026257349,23.1049178200174
25,9.01808414203652,15.3438604487826,5.41868121749272,22.7787896931897
25,9.27478718743663,14.7129947775753,4.85653684162987,22.0490943828114
25,9.5387973783989,14.2857315967422,3.33143181022771,20.7618767927055
25,9.81032271547971,14.4381225616843,1.08079581147079,19.4577521515007
25,10.0895771200469,14.5258740470976,-2.18899811821405,18.1640084803894
25,10.376780602818,13.8544455171789,-4.95387041770654,16.4366607722113
25,10.6721594371954,11.7723369735272,-7.46501797902523,14.1812531492368
25,10.9759463375364,9.1070080450117,-11.4811801582384,12.6972584534435
25,11.288380642497,6.298566038369,-15.332987841017,10.8357403376343
25,11.6097085035953,3.88235241904028,-19.1017596472209,10.1923893298026
25,11.9401830791416,1.37399916172269,-23.824032290245,8.90933845827267
25,12.2800647336898,-0.534859004645938,-28.7334822980958,7.10444867152996
55,3.7313296415029,23.1365299017209,-4.31491350219972,46.0752524196857
55,3.83286610512419,24.8014321315682,1.87362801511801,44.9721860048378
55,3.93716556597039,26.4016419857528,7.07707792901483,44.0092151819407
55,4.04430321036761,28.0999821459995,12.4912100544316,43.2602502970832
55,4.15435627060261,30.7083596219538,15.9986335548298,42.3885599776016
55,4.26740408059724,32.0911576132858,17.5984929797952,41.5945706265474
55,4.38352813309783,30.2115801691894,19.3659028738602,41.693119004092
55,4.50281213842091,27.2390222129002,19.1376616756882,42.6061106747231
55,4.62534208479737,28.8770471126805,20.020275485404,43.1941394020106
55,4.75120630035885,34.09346320817,19.826937112066,44.0581888161874
55,4.88049551681074,40.2345823616404,18.6831097284781,45.536618355947
55,5.01330293483799,38.3078249026347,17.9589787021796,46.4737381822202
55,5.1497242912906,35.0232540711573,16.5516814896827,48.7023686324664
55,5.2898579281975,34.5346720274011,15.0387211562362,50.6304117465391
55,5.43380486365825,35.9362775242248,15.7453318737597,50.8155385396125
55,5.58166886466402,37.7559106045755,15.6088076030614,50.2161196800886
55,5.7335565219,36.4633930748213,15.3581809528523,47.6415034234809
55,5.88957732658345,34.3786736200496,15.5751498967219,45.6422111083316
55,6.0498437493926,33.946775587142,15.2544458953169,44.6932005351667
55,6.21447132154333,33.2625288542853,14.6594347893969,42.5591226389261
55,6.38357871807217,32.2410131148654,15.025470682138,44.1445247085596
55,6.5572878433855,31.3308836986809,14.528455925433,44.5136574732172
55,6.73572391913679,31.5653850605024,14.2882760225241,44.8239824541721
55,6.91901557449506,34.1322474435172,13.9946106554405,45.7207771738281
55,7.10729493886982,36.0298920407842,13.5456506644698,46.4668052506641
55,7.30069773715909,35.9793637781448,13.4892705823006,46.8576669676633
55,7.4993633875894,35.2183204020165,13.7636114642288,44.5913797646735
55,7.70343510221821,34.5294307382506,13.219057722689,45.1743633213468
55,7.9130599901711,34.006249310242,11.7054465838527,45.4655403360755
55,8.12838916368831,32.9581099664169,10.437721025084,45.3211571716404
55,8.34957784705698,30.9868172521884,8.18419063425401,45.7762164523594
55,8.57678548850765,28.7239290164712,5.99318775202831,43.9699968529665
55,8.81017587515564,26.220219521312,1.43539577865461,42.1460323076441
55,9.04991725107026,23.1805393655101,-3.8349599725348,38.0082059869937
55,9.29618243855684,18.9755504196199,-8.68332949414738,37.2986955576632
55,9.54914896273915,13.5360901056288,-13.8092963584577,34.0580193416879
55,9.80899917953182,6.75574277022049,-20.3617463948792,31.369098333201
55,10.0759204070953,-1.47614472482884,-26.6592100204801,30.1995412159549
55,10.3501050608676,-10.6398969446389,-32.5471151378573,27.2105481428287
55,10.6317507922713,-19.9257857593861,-39.623400600455,25.4324016463182
85,4.24326918388398,14.4047429368333,7.57283703287385,18.9532272294875
85,4.36227473423517,15.7267612693403,10.4809999433189,20.5027205532706
85,4.48461788123665,17.0283610350783,13.1926074653106,21.7571652230103
85,4.61039223019815,18.305600351137,15.7386615493864,23.4403429574224
85,4.73969401165793,19.5063750915186,18.0070914283392,24.9816506336109
85,4.87262215500926,19.8932089693911,19.7560412585817,26.5886652041157
85,5.00927836419171,22.5868420766015,21.3370122298943,28.3819760831648
85,5.14976719550534,26.697972621853,23.2257603912837,30.0159123204371
85,5.29419613760716,28.925265890627,25.4605287067635,31.5938280046432
85,5.44267569375128,30.9843721311631,26.9569197103689,33.1254916890774
85,5.59531946633539,32.6753490549538,28.4490056756223,34.754312412006
85,5.75224424381851,34.2291916346311,29.8032483888497,35.9945578524405
85,5.9135700900764,35.7483296860726,31.1521296726901,37.3189742864419
85,6.07942043626296,37.1064519096757,32.3976511036625,38.7331610593431
85,6.24992217524798,38.8239470285949,33.8069480999088,40.100294332431
85,6.42520575870349,41.0375287198128,34.9995162506452,41.6195833796347
85,6.60540529691291,42.6388357481232,36.0967694684228,42.8978480976414
85,6.79065866137948,43.017933694211,37.0104103887175,45.0252933654605
85,6.98110759031236,43.364590294875,37.3602574839631,46.211723009172
85,7.17689779707119,43.9553927185549,37.3559091851701,47.1770945205501
85,7.37817908165209,44.3344147940361,37.3687114521078,48.4873871261035
85,7.58510544530032,44.7381351416886,37.7626669653973,49.5007880555588
85,7.79783520833731,45.7744126768806,37.9370093953402,50.7600494624281
85,8.01653113129233,47.0331032859809,38.0416759342808,52.9338027769099
85,8.24136053943129,47.7920794812467,38.0083561456894,53.7041472697523
85,8.47249545077809,48.1523415870774,37.4686336594619,54.459100531992
85,8.71011270772641,48.4050942361546,37.1559826537599,55.010775888901
85,8.95439411234263,48.5332324755765,37.5575622993199,55.3191926774558
85,9.20552656546347,48.5204220516175,38.5131297529279,55.7654367978293
85,9.46370220969464,48.4755939807123,39.4225284781181,56.8524033591989
85,9.72911857642008,49.4167201434355,40.5413954140196,57.6922714491145
85,10.0019787369341,49.5791579098661,41.2037660094816,58.0259258445047
85,10.2824914578123,47.9447783121507,41.5814033870046,59.7783631384579
85,10.5708713606396,46.3662343530933,41.6113658445688,61.5331367064949
85,10.8673390862183,45.9168982072908,41.913880797818,63.4374666197782
85,11.1721214633818,45.9534560486576,42.4666835356212,65.6110307736213
85,11.4854516825415,45.9947336948544,43.0138586342659,67.5206239663055
85,11.8075694741028,46.2387943147179,43.9833419478787,69.3344529099317
85,12.1387212918834,46.8395647429312,44.4774913693644,70.8540636676464
85,12.4791605016764,47.5443983278724,45.7151828515349,72.6809969793902
