a_mm,dK,Kmax,a_over_w,ligament_mm,required_mm,E647_ok
4,3.75469875702432,4.1718875078048,0.0666666666666667,56,2.43999814547959,1
12,7.77776986108486,8.64196651231651,0.2,48,10.4700673544567,1
18,11.5328420287269,12.8142689208077,0.3,42,23.0203533274854,1
21.95,14.7924257900653,16.4360286556281,0.365833333333333,38.05,37.8719874694646,1
24,16.871283493637,18.7458705484855,0.4,36,49.2646662135555,0
