condition,n_pts,u_median,u_q25,u_q75
BM,272,417.531983025492,208.174693113155,616.040923720116
FSW,274,302.439830535585,189.197713437701,477.355461920762
FSW.C 25C,214,518.262873637641,264.188248238454,782.851406666651
FSW.C 55C,184,351.937917372742,203.102298620968,706.237281040038
FSW.C 85C,115,339.266095074382,241.88084209785,440.379301615485
FSW.I 25C,201,443.098963554476,219.975753300764,1124.55330989956
FSW.I 55C,280,520.02208177205,203.193059893009,969.308002924713
FSW.I 85C,144,424.933767560776,341.884151868602,524.041887007918
