N,a
-12933.9091700725,3.87082740606839
-12438.4121145149,3.85755600788358
-6492.44744782243,4.2822407497973
-3519.46511447628,3.71157062785074
-546.482781130064,3.65848503511153
11345.4465522547,3.80447041514437
94588.9518859478,4.24242655524289
112426.845886025,4.2689693516125
118372.810552717,4.2689693516125
130264.739886102,4.29551214798211
136210.704552794,4.29551214798211
154048.598552872,4.32205494435172
159994.563219564,4.32205494435172
171886.492552949,4.34859774072132
195670.351219718,4.37514053709094
201616.315886411,4.37514053709094
213508.245219795,4.40168333346054
219454.209886488,4.40168333346054
231346.139219872,4.13625536976446
237292.103886565,4.12298397157966
243238.068553257,4.12298397157966
249184.03321995,4.13625536976446
255129.997886642,4.14952676794927
415671.043887336,4.16279816613407
421617.008554028,4.18934096250368
594049.983888107,5.09179603907034
599995.9485548,5.15815302999436
605941.913221492,5.18469582636397
611887.877888184,5.15815302999436
617833.842554877,5.10506743725514
647563.665888338,5.14488163180955
665401.559888416,5.2908670118424
677293.4892218,5.38376679913603
683239.453888493,5.35722400276642
684725.945055166,4.98562485359191
689185.418555185,5.02543904814632
701077.34788857,5.07852464088554
707023.312555262,5.10506743725514
712969.277221955,5.14488163180955
718915.241888647,5.17142442817917
724861.206555339,5.21123862273357
730807.171222032,5.21123862273357
736753.135888724,5.25105281728798
742699.100555417,5.25105281728798
748645.065222109,5.22451002091838
760536.994555494,5.34395260458162
772428.923888878,5.46339518824485
778374.888555571,5.48993798461446
784320.853222263,5.51648078098406
790266.817888955,5.55629497553848
796212.782555648,5.58283777190808
802158.74722234,5.60938056827769
808104.711889033,5.6226519664625
814050.676555725,5.56956637372328
819996.641222417,5.58283777190808
825942.60588911,5.55629497553848
831888.570555802,5.67573755920171
837834.535222494,5.72882315194093
843780.499889187,5.79518014286494
849726.464555879,5.82172293923455
855672.429222572,5.84826573560416
861618.393889264,5.87480853197377
867564.358555956,5.90135132834337
873510.323222649,5.92789412471299
879456.287889341,5.94116552289779
885402.252556033,5.96770831926739
891348.217222726,6.0075225138218
897294.181889418,6.04733670837622
903240.14655611,6.04733670837622
909186.111222803,6.03406531019142
915132.075889495,6.03406531019142
921078.040556188,6.24640768114828
927024.00522288,6.28622187570269
932969.969889572,6.36585026481151
938915.934556265,6.40566445936592
944861.899222957,6.53837844121396
950807.86388965,6.51183564484435
955762.834445227,6.57819263576837
956753.828556342,6.49856424665955
957744.822667457,6.73744941398602
962699.793223034,6.53837844121396
968645.757889727,6.6445496266924
974591.722556419,6.79053500672524
998375.581223189,7.26830534137817
1002339.55766765,7.21521974863896
1004321.54588988,7.32139093411739
1010267.51055657,7.3744765268566
1010763.00761213,7.3744765268566
1016213.47522327,7.45410491596542
1022159.43988996,7.53373330507425
1022654.93694552,7.53373330507425
1028105.40455665,7.61336169418308
1034051.36922334,7.6929900832919
1034051.36922334,7.6929900832919
1039997.33389004,7.77261847240072
1045943.29855673,7.85224686150954
1051889.26322342,7.94514664880317
1053871.25144565,7.85224686150954
1057835.22789011,8.17076041794483
1063781.1925568,8.18403181612964
