N,a
-12438.4121145149,4.9458106590375
-6492.44744782243,4.81309667718946
-546.482781130064,4.78655388081985
-50.9857255723909,4.82636807537426
-50.9857255723909,4.66711129715662
5399.4818855623,4.79982527900466
11345.4465522547,4.89272506629828
17291.411218947,5.05198184451593
20264.3935522932,4.98562485359191
23237.3758856394,5.07852464088554
29183.3405523318,5.10506743725514
35129.3052190241,5.13161023362476
41075.2698857166,5.15815302999436
47021.2345524089,5.18469582636397
52967.1992191013,5.23778141910319
58913.1638857936,5.26432421547279
64859.128552486,5.2908670118424
70805.0932191784,5.31740980821201
76751.0578858707,5.34395260458162
82697.0225525631,5.37049540095122
88642.9872192555,5.39703819732083
94588.9518859478,5.41030959550563
100534.91655264,5.42358099369044
106480.881219333,5.46339518824485
112426.845886025,5.47666658642965
118372.810552717,5.50320938279926
124318.77521941,5.52975217916887
130264.739886102,5.56956637372328
136210.704552794,5.43685239187524
142156.669219487,5.39703819732083
148102.633886179,5.42358099369044
154048.598552872,5.50320938279926
159994.563219564,5.59610917009289
165940.527886256,5.60938056827769
171886.492552949,5.6226519664625
177832.457219641,5.68900895738651
183778.421886333,5.56956637372328
185264.913053007,4.34859774072132
189724.386553026,5.55629497553848
195670.351219718,5.59610917009289
201616.315886411,5.68900895738651
207562.280553103,5.84826573560416
213508.245219795,5.92789412471299
219454.209886488,5.99425111563701
225400.17455318,6.12696509748504
231346.139219872,6.11369369930024
237292.103886565,6.07387950474583
243238.068553257,6.07387950474583
249184.03321995,6.11369369930024
255129.997886642,6.39239306118112
261075.962553334,6.44547865392033
267021.927220027,6.49856424665955
272967.891886719,6.59146403395318
278913.856553411,6.51183564484435
284859.821220104,6.48529284847474
290805.785886796,6.49856424665955
296751.750553488,6.6445496266924
302697.715220181,6.72417801580121
308643.679886873,6.75072081217083
314589.644553566,6.79053500672524
320535.609220258,6.81707780309484
326481.57388695,6.88343479401886
332427.538553643,6.80380640491004
338373.503220335,6.77726360854043
344319.467887028,6.80380640491004
350265.43255372,6.96306318312769
355715.900164855,7.05596297042131
356211.397220412,7.10904856316053
362157.361887105,7.17540555408455
362652.858942662,7.21521974863896
368103.326553797,7.24176254500856
374049.291220489,7.30811953593258
379499.758831624,7.3744765268566
379995.255887182,7.3744765268566
385941.220553874,7.45410491596542
391887.185220566,7.52046190688944
397833.149887259,7.58681889781347
403779.114553951,7.65317588873749
404274.611609509,7.53373330507425
409725.079220644,7.75934707421592
415671.043887336,7.66644728692229
416166.540942894,7.6929900832919
421617.008554028,7.63990449055268
427562.973220721,7.65317588873749
433508.937887413,7.7062614814767
439454.902554106,7.85224686150954
445400.867220798,7.87878965787915
445896.364276356,7.85224686150954
451346.83188749,7.91860385243356
455806.30538751,8.01150363972719
457292.796554183,7.97168944517278
463238.761220875,8.0513178342816
469184.725887567,8.25038880705366
475130.69055426,8.36983139071689
481076.655220952,8.3831027889017
482563.146387625,8.33001719616248
483058.643443183,8.48927397438013
483554.140498741,8.64853075259777
487022.619887644,8.3963741870865
491482.093387664,8.80778753081542
492968.584554337,8.82105892900022
493959.578665452,8.96704430903306
496932.560998798,9.12630108725071
498914.549221029,9.29882926365316
499905.543332145,9.28555786546836
500896.53744326,9.92258497833895
503869.519776606,9.44481464368601
504860.513887722,9.59080002371885
510806.478554414,9.71024260738209
512788.466776645,9.60407142190365
513283.963832202,9.7633282001213
516752.443221106,9.72351400556688
520220.92261001,10.2410985347742
522698.407887799,9.97567057107816
523193.904943356,10.0818417565566
528644.372554491,10.3738125166223
529635.366665607,10.4003553129919
534590.337221183,10.665783276688
540040.804832318,10.5596120912095
540536.301887876,10.732140267612
543509.284221222,11.0373824258625
543509.284221222,10.8781256476448
543509.284221222,10.7188688694272
546482.266554568,11.2099106022649
547968.757721241,11.1966392040801
552428.231221261,11.3293531859281
553419.225332376,11.3558959822978
558374.195887953,12.2450796606796
558374.195887953,11.6744095387331
558374.195887953,11.5151527605154
