dK,dadN
4.24326918388398,7.78449133422109e-09
4.377319241363,8.97307995409151e-09
4.54178032169041,1.03336818387178e-08
4.57201062154324,1.17529460618664e-08
4.76467438237285,1.38803303101776e-08
4.95376604565113,1.72057601359985e-08
5.09408372715265,1.99038448058259e-08
5.29346044541045,2.49210187943133e-08
5.84805782052926,3.33943805466488e-08
6.17705423987388,4.68023048157178e-08
6.57502948080367,6.47084036990224e-08
6.90198280217629,8.65110478982641e-08
7.18818421651542,1.07794669305752e-07
7.55985700233647,1.38004913383347e-07
8.08311489343356,1.8770607294345e-07
8.50812446405779,2.38247630852674e-07
9.31569022275005,3.38967026413285e-07
9.79731995421963,4.06380400600636e-07
10.3459890574764,5.28149685905345e-07
10.9192747247736,5.91721245541908e-07
11.7001551632472,7.11363556822682e-07
12.3062548410851,8.1097239630644e-07
12.9586876734108,9.24501137238973e-07
13.8025495625795,1.18523413578721e-06
14.2881854519562,1.14818561973882e-06
14.7489970273239,1.32108624311012e-06
