dK,dadN
4.08499517372782,7.26523239486171e-09
4.21805984173404,8.23829380804454e-09
4.3640020451609,1.03756304558282e-08
4.70647466519966,1.71503428665542e-08
5.1511365214909,2.79811701591446e-08
5.51617306746266,4.10192489599445e-08
6.05772414177883,6.70354622553148e-08
6.50268319423306,1.01514201349091e-07
6.9534930989567,1.62830947194225e-07
7.28752826830999,2.27408804871316e-07
7.70079841784821,2.84646263776407e-07
8.0958517037522,3.52345359805605e-07
8.41936357556614,4.06536540603911e-07
9.07357560788562,5.70998220597639e-07
9.49138784606725,7.29889703093622e-07
9.95470415141125,9.0760719839721e-07
10.5715167781176,1.11170116653565e-06
11.421769631338,1.33939662217204e-06
12.4791605016764,1.3060557134926e-06
