dK,dadN
4.10963749732159,4.99483043662882e-09
4.36788895808936,6.43303528870927e-09
4.79072702232606,9.20550576842463e-09
5.03646616389325,1.13144842631586e-08
5.5203489307432,1.60993467166934e-08
5.93929881096285,2.55491575209253e-08
6.61096927322345,4.42177057229382e-08
7.05932339563989,5.73721326897279e-08
7.38704322197998,8.0618585509786e-08
8.02761734488665,1.07532134444188e-07
8.48461260739298,1.38992873949397e-07
8.95823695706581,1.80424457232588e-07
9.51938334737149,2.57061120890699e-07
10.3984063253854,3.36398203314251e-07
11.540126629649,5.3355202432576e-07
12.2800647336898,5.85596827151579e-07
