dK,dadN
3.36042677883817,1.97171704022937e-09
3.4143164229055,2.57340120862132e-09
3.45353048935637,2.99260350875459e-09
3.49660187768461,3.12573990211073e-09
3.55532330225413,3.63321331228111e-09
3.82128237035094,4.54013978000108e-09
4.10399551668739,5.95152067919903e-09
4.17813862434862,6.77952326422749e-09
4.7142297711542,1.11967716726988e-08
5.47211413977081,2.01871450156926e-08
5.66383766482913,2.23927939586067e-08
6.07895876492803,2.73446827761796e-08
6.44130739583114,3.41505645109204e-08
6.90452829874011,4.19124427029489e-08
7.35566467166129,5.13338237292521e-08
7.83908737183711,5.96131406297177e-08
8.20284355765652,6.8257219067274e-08
8.53830204969339,7.59136886741733e-08
9.17747341074818,1.01675083162918e-07
9.75727119188949,1.27825995295796e-07
10.5251102202395,1.9982702966202e-07
11.8608967752671,3.4572796438536e-07
13.2503850578748,5.75351278849896e-07
16.2653894648263,1.00704987509604e-06
