dK,dadN
3.61008829935617,2.13819865784966e-09
3.72494659066381,4.01154734537332e-09
3.88346504953214,5.50731350742754e-09
4.02764716910574,5.97594415340702e-09
4.24766697364779,7.18100409985423e-09
4.40992848504472,8.31737913749474e-09
4.56088873141559,1.00486717496717e-08
4.79123548993223,1.21433731996254e-08
4.92074711703321,1.45070083620014e-08
5.03481399977157,1.84626072902688e-08
5.36391112113266,2.30946460588511e-08
5.70300219167163,1.84343628350059e-08
5.72287546019006,2.45829399870421e-08
6.05722228564978,3.81195015943407e-08
6.71038203186463,5.93680214374616e-08
7.07564563250753,8.27304695772132e-08
7.65548919648931,1.18032514610867e-07
8.07991226462395,1.43168908953546e-07
8.41685247948007,1.56572386639527e-07
8.54618831421129,1.99910341025699e-07
9.18674627834238,2.55985692511312e-07
9.65906067519973,2.96548349095406e-07
10.5970646569838,4.03017802309421e-07
12.1383801765526,5.46018026889731e-07
12.8131341652587,4.29871385445426e-07
13.5729305166892,5.23091496781605e-07
13.9948439465097,7.37347359153741e-07
14.4620363843729,9.40934550390528e-07
