N,a
-14866.4957583054,3.97858148505001
-7674.75559462979,3.99280588740125
-7674.75559462979,3.82211305918634
-4078.88551279204,3.65142023097142
-2880.26215217944,3.99280588740125
-483.015430954227,3.97858148505001
-483.015430954227,3.48072740275651
6708.72473272134,3.97858148505001
13900.4648963969,3.97858148505001
28283.9452237481,4.10660110621119
35475.6853874237,4.10660110621119
42667.4255510992,4.14927431326493
49859.1657147747,4.17772311796741
57050.9058784504,4.2061719226699
64242.646042126,4.23462072737238
71434.3862058015,4.27729393442611
78626.1263694771,4.3057427391286
85817.8665331526,4.33419154383108
93009.6066968283,4.36264034853357
100201.346860504,4.39108915323605
107393.087024179,4.41953795793854
114584.827187855,4.44798676264103
121776.567351531,4.47643556734351
136160.047678882,4.59023078615346
143351.787842557,4.59023078615346
150543.528006233,4.6044551885047
157735.268169908,4.59023078615346
164927.008333584,4.59023078615346
179310.488660935,4.61867959085594
186502.228824611,4.61867959085594
193693.968988286,4.64712839555843
200885.709151962,4.64712839555843
208077.449315637,4.64712839555843
215269.189479313,4.64712839555843
222460.929642989,4.66135279790967
229652.669806664,4.67557720026092
236844.40997034,4.67557720026092
244036.150134015,4.67557720026092
251227.890297691,4.68980160261216
258419.630461366,4.71825040731464
265611.370625042,4.71825040731464
272803.110788718,4.71825040731464
279994.850952393,4.71825040731464
287186.591116069,4.71825040731464
294378.331279744,4.96006524728578
308761.811607096,4.73247480966589
315953.551770771,4.73247480966589
323145.291934447,4.73247480966589
330337.032098122,4.74669921201713
337528.772261798,4.76092361436837
344720.512425473,4.76092361436837
351912.252589149,4.76092361436837
359103.992752825,4.76092361436837
366295.7329165,4.77514801671961
373487.473080176,4.77514801671961
380679.213243851,4.78937241907086
387870.953407527,4.78937241907086
395062.693571202,4.78937241907086
402254.433734878,4.78937241907086
409446.173898554,4.8035968214221
416637.914062229,4.81782122377334
423829.654225905,4.81782122377334
431021.39438958,4.81782122377334
438213.134553256,4.81782122377334
445404.874716931,4.81782122377334
452596.614880607,4.83204562612459
459788.355044283,4.84627002847583
466980.095207958,4.84627002847583
474171.835371634,4.86049443082707
481363.575535309,4.86049443082707
488555.315698985,4.86049443082707
495747.055862661,4.86049443082707
502938.796026336,5.18765568490566
510130.536190012,4.86049443082707
517322.276353687,4.97428964963702
524514.016517363,4.98851405198826
531705.756681038,5.0027384543395
538897.496844714,5.08808486844696
546089.23700839,5.08808486844696
553280.977172065,5.07386046609572
560472.717335741,5.08808486844696
567664.457499416,5.08808486844696
574856.197663092,5.07386046609572
582047.937826768,5.18765568490566
589239.677990443,5.21610448960815
596431.418154119,5.24455329431063
603623.158317794,5.27300209901312
610814.89848147,5.3014509037156
618006.638645145,5.31567530606685
625198.378808821,5.32989970841809
632390.118972497,5.35834851312057
639581.859136172,5.38679731782306
646773.599299848,5.41524612252555
653965.339463523,5.44369492722804
661157.079627199,5.47214373193052
668348.819790874,5.50059253663301
675540.55995455,5.61438775544295
682732.300118226,5.60016335309171
689924.040281901,5.61438775544295
697115.780445577,5.60016335309171
704307.520609252,5.95577341187278
711499.260772928,5.60016335309171
718691.000936603,5.71395857190165
725882.741100279,5.69973416955041
733074.481263955,5.7281829742529
740266.22142763,5.75663177895538
747457.961591306,5.78508058365787
754649.701754981,5.81352938836035
761841.441918657,5.84197819306284
769033.182082332,5.87042699776532
776224.922246008,5.89887580246781
783416.662409684,5.92732460717029
790608.402573359,5.95577341187278
797800.142737035,5.96999781422402
804991.88290071,6.16913944714143
812183.623064386,6.05534422833148
819375.363228061,6.05534422833148
826567.103391737,6.06956863068272
833758.843555413,6.41095428711255
840950.583719088,5.81352938836035
855334.064046439,6.15491504479018
862525.804210115,6.18336384949266
869717.544373791,6.21181265419516
876909.284537466,6.24026145889764
884101.024701142,6.26871026360013
891292.764864817,6.29715906830261
898484.505028493,6.3256078730051
905676.245192169,6.35405667770758
912867.985355844,6.36828108005883
920059.72551952,6.38250548241007
927251.465683195,6.38250548241007
934443.205846871,6.49630070122002
941634.946010546,6.49630070122002
948826.686174222,6.49630070122002
956018.426337898,6.12646624008769
963210.166501573,6.21181265419516
970401.906665249,6.63854472473244
977593.646828924,6.63854472473244
984785.3869926,6.66699352943493
999168.867319951,6.8234619552986
1006360.60748363,6.8234619552986
1013552.3476473,6.8234619552986
1020744.08781098,6.8234619552986
1027935.82797465,6.8234619552986
1042319.308302,6.89458396705481
1049511.04846568,6.90880836940606
1056702.78862936,6.97993038116228
1063894.52879303,6.99415478351352
1071086.26895671,6.99415478351352
1078278.00912038,6.99415478351352
1085469.74928406,6.99415478351352
1092661.48944773,6.99415478351352
1099853.22961141,7.15062320937719
1107044.96977508,7.16484761172843
1114236.70993876,7.20752081878216
1121428.45010244,7.23596962348465
1128620.19026611,7.37821364699708
1135811.93042979,7.39243804934832
1143003.67059346,7.37821364699708
1150195.41075714,7.80494571753437
1157387.15092081,7.06527679526973
1164578.89108449,7.37821364699708
1171770.63124816,7.59157968226572
1178962.37141184,7.62002848696821
1186154.11157552,7.67692609637318
1193345.85173919,7.70537490107566
1200537.59190287,7.90451653399307
1207729.33206654,7.90451653399307
1214921.07223022,7.91874093634431
1222112.81239389,8.31702420217911
1229304.55255757,7.57735527991448
1236496.29272124,7.90451653399307
1243688.03288492,8.13210697161296
1250879.7730486,8.17478017866668
1258071.51321227,8.23167778807165
1265263.25337595,8.27435099512538
1272454.99353962,8.45926822569154
1279646.7337033,8.45926822569154
1286838.47386697,8.47349262804278
1294030.21403065,8.45926822569154
1301221.95419433,8.47349262804278
1308413.694358,8.67263426096018
1315605.43452168,8.70108306566267
1322797.17468535,8.75798067506764
1329988.91484903,8.77220507741889
1337180.6550127,8.99979551503877
1344372.39517638,8.99979551503877
1344971.70685668,9.11359073384872
1351564.13534005,8.98557111268753
1358755.87550373,8.99979551503877
1365947.61566741,8.99979551503877
1371940.73247047,9.28428356206363
1373139.35583108,9.01401991739002
1380331.09599476,9.25583475736115
1387522.83615843,9.32695676911736
1394115.2646418,9.45497639027855
1394714.57632211,9.41230318322482
1401906.31648578,9.46920079262979
1409098.05664946,9.55454720673725
1416289.79681313,9.61144481614222
1423481.53697681,9.69679123024968
1427077.40705865,9.62566921849346
1430673.27714049,9.72524003495217
1437865.01730416,9.99550367962578
1439063.64066477,9.79636204670838
1445056.75746784,9.98127927727454
1445656.06914814,9.96705487492329
1452248.49763151,9.98127927727454
1459440.23779519,9.99550367962578
1466631.97795886,9.98127927727454
1481015.45828621,10.5218065666218
1488207.19844989,10.5218065666218
1488806.5101302,10.479133359568
1495398.93861357,10.536030968973
1501392.05541663,10.649826187783
1502590.67877724,10.9343142348078
1509782.41894092,10.8774166254028
1516974.15910459,10.7920702112954
1523566.58758796,10.9912118442128
1524165.89926827,11.0481094536178
1530758.32775164,11.1619046724277
1531357.63943194,11.062333855969
1538549.37959562,11.062333855969
1545741.11975929,11.4179439147501
1551734.23656236,11.5032903288575
1551734.23656236,11.3325975006426
1552932.85992297,11.6313099500187
1560124.60008665,11.6882075594237
1564919.0935291,11.6739831570724
1567316.34025032,11.6882075594237
1574508.080414,12.114939629961
1577504.63881553,12.0153688135023
1578103.95049583,11.8446759852874
1581699.82057767,12.1291640323122
1587692.93738074,12.1860616417172
1588891.56074135,12.1433884346635
1596083.30090502,12.1576128370147
1600877.79434747,12.3567544699321
1603275.0410687,12.584344907552
1604473.66442931,12.527447298147
1610466.78123237,12.4563252863908
1617658.52139605,12.6270181146057
1617658.52139605,12.6981401263619
1624850.26155973,13.1248721968992
1628446.13164156,12.8688329545769
1630244.06668248,13.0395257827918
1632042.0017234,13.1248721968992
1639233.74188708,13.1390965992505
1646425.48205075,13.1533210016017
1646425.48205075,13.2102186110067
1651219.9754932,13.3809114392216
1653617.22221443,13.523155462734
1656014.46893565,13.5516042674365
1660808.9623781,13.5373798650853
1666802.07918117,13.7222970956514
1668000.70254178,13.5658286697878
1675192.44270546,13.9925607403251
1682384.18286913,14.1917023732424
1682384.18286913,13.8929899238663
1682983.49454944,14.0636827520813
1687777.98799189,14.2343755802962
1689575.92303281,13.9783363379738
1693771.10479495,14.4050684085111
1696767.66319648,14.2201511779449
1703959.40336016,14.8175760766971
1706955.96176169,14.575761236726
1709952.52016322,14.7464540649409
1711151.14352383,14.8318004790484
1712949.07856475,15.0878397213708
1712949.07856475,14.9171468931558
1718342.88368751,14.8602492837509
1721938.75376935,15.2585325495857
1725534.62385118,15.2869813542882
1732726.36401486,15.685264620123
1738120.16913762,15.9413038624453
1738719.48081792,15.7706110342304
1738719.48081792,15.5999182060155
1739918.10417854,15.5003473895568
1742315.35089976,16.1119966906603
1742914.66258007,15.4292253778006
1747109.84434221,15.7706110342304
1748308.46770282,16.2826895188752
1754301.58450589,16.7663191988174
1755500.2078665,16.4533823470901
1757298.14290742,16.624075175305
1759695.38962864,16.7947680035199
1761493.32466956,17.1788268670035
1761493.32466956,16.9654608317348
1763890.57139079,17.1361536599497
1764489.88307109,17.8189249728094
1764489.88307109,17.6482321445945
1765089.1947514,17.9896178010243
1766887.12979232,17.4775393163796
1768685.06483324,19.6254240714173
1771681.62323477,18.1603106292392
1771681.62323477,17.3068464881647
1774678.1816363,18.3310034574542
1775876.80499691,22.4418557369634
1775876.80499691,18.672389113884
1775876.80499691,18.5016962856691
1777075.42835753,18.8430819420989
1777674.74003783,19.0137747703138
1778274.05171814,19.1844675985287
1779472.67507875,21.4034743653226
1779472.67507875,21.2327815371077
1779472.67507875,21.0620887088928
1779472.67507875,19.5258532549586
1779472.67507875,19.3551604267436
1780671.29843936,22.769016991042
1780671.29843936,22.598324162827
1780671.29843936,19.6965460831735
1781270.61011967,22.9397098192569
1781270.61011967,21.5741671935375
1781270.61011967,19.8672389113884
1781869.92179998,24.1345596167613
1781869.92179998,23.9638667885464
1781869.92179998,23.7931739603314
1781869.92179998,20.0379317396033
1782469.23348028,24.9880237578359
1782469.23348028,24.8173309296209
1782469.23348028,24.646638101406
1782469.23348028,22.4276313346121
1782469.23348028,20.2086245678182
1783068.54516059,22.4703045416659
1783068.54516059,26.0121807271253
1783068.54516059,25.8414878989104
1783068.54516059,25.6707950706955
1783068.54516059,20.3793173960331
1784267.1685212,25.1587165860508
1784267.1685212,20.5500102242481
1784866.48020151,26.1828735553403
1784866.48020151,20.720703052463
1785465.79188181,20.8913958806779
1786065.10356212,24.3052524449762
1787263.72692273,21.7448600217525
1787863.03860304,23.6224811321165
1787863.03860304,22.0862456781823
1788462.35028335,21.9155528499674
1789061.66196365,25.5001022424806
1789061.66196365,24.4759452731911
1789061.66196365,23.1104026474718
1789061.66196365,22.2569385063972
1790260.28532426,23.8500715697364
1790859.59700457,25.3294094142657
1791458.90868488,26.3535663835552
1797452.02548794,23.6224811321165
1804643.76565162,22.3991825299096
