N,a
-18384.3767812072,4.03008418428603
8372.46421890846,3.55231384963309
10354.4524411393,3.71157062785074
11345.4465522547,3.897370202438
17291.411218947,3.897370202438
23237.3758856394,3.88409880425319
29183.3405523318,3.88409880425319
35129.3052190241,3.88409880425319
41075.2698857166,3.88409880425319
47021.2345524089,3.897370202438
52967.1992191013,3.88409880425319
58913.1638857936,3.88409880425319
64859.128552486,3.897370202438
70805.0932191784,3.897370202438
76751.0578858707,3.897370202438
82697.0225525631,3.897370202438
88642.9872192555,3.9106416006228
94588.9518859478,3.9106416006228
100534.91655264,3.897370202438
106480.881219333,3.9106416006228
112426.845886025,3.9106416006228
118372.810552717,3.9106416006228
124318.77521941,3.9106416006228
130264.739886102,3.9239129988076
136210.704552794,3.9239129988076
142156.669219487,3.9239129988076
148102.633886179,3.9239129988076
154048.598552872,3.93718439699241
159994.563219564,3.93718439699241
165940.527886256,3.93718439699241
171886.492552949,3.93718439699241
177832.457219641,3.93718439699241
183778.421886333,3.93718439699241
189724.386553026,3.93718439699241
195670.351219718,3.93718439699241
201616.315886411,3.93718439699241
207562.280553103,3.93718439699241
213508.245219795,3.93718439699241
219454.209886488,3.93718439699241
225400.17455318,3.95045579517721
231346.139219872,3.95045579517721
237292.103886565,3.95045579517721
243238.068553257,3.95045579517721
249184.03321995,3.95045579517721
255129.997886642,3.96372719336201
261075.962553334,3.97699859154682
267021.927220027,3.97699859154682
272967.891886719,3.99026998973162
278913.856553411,3.99026998973162
284859.821220104,3.99026998973162
290805.785886796,4.00354138791643
296751.750553488,4.01681278610123
302697.715220181,4.01681278610123
308643.679886873,4.03008418428603
314589.644553566,4.04335558247084
320535.609220258,4.05662698065564
326481.57388695,4.06989837884044
332427.538553643,4.06989837884044
338373.503220335,4.08316977702525
344319.467887028,4.09644117521005
350265.43255372,4.10971257339486
356211.397220412,4.12298397157966
362157.361887105,4.14952676794927
368103.326553797,4.16279816613407
374049.291220489,4.17606956431887
379995.255887182,4.18934096250368
385941.220553874,4.20261236068848
391887.185220566,4.22915515705809
397833.149887259,4.24242655524289
403779.114553951,4.24242655524289
409725.079220644,4.2689693516125
415671.043887336,4.2822407497973
421617.008554028,4.29551214798211
427562.973220721,4.2689693516125
433508.937887413,4.24242655524289
439454.902554106,4.01681278610123
445400.867220798,4.34859774072132
451346.83188749,4.36186913890613
457292.796554183,4.36186913890613
463238.761220875,4.32205494435172
469184.725887567,4.12298397157966
475130.69055426,4.2556979534277
481076.655220952,4.42822612983015
492968.584554337,4.41495473164535
504860.513887722,4.45476892619975
510806.478554414,4.45476892619975
516752.443221106,4.46804032438456
522698.407887799,4.46804032438456
528644.372554491,4.46804032438456
534590.337221183,4.46804032438456
540536.301887876,4.45476892619975
546482.266554568,4.41495473164535
552428.231221261,4.21588375887329
558374.195887953,4.32205494435172
564320.160554645,4.49458312075416
570266.125221338,4.49458312075416
576212.08988803,4.49458312075416
582158.054554722,4.49458312075416
588104.019221415,4.50785451893897
594049.983888107,4.50785451893897
599995.9485548,4.50785451893897
605941.913221492,4.50785451893897
611887.877888184,4.52112591712378
617833.842554877,4.52112591712378
623779.807221569,4.53439731530858
629725.771888261,4.53439731530858
635671.736554954,4.53439731530858
641617.701221646,4.56094011167819
647563.665888338,4.56094011167819
653509.630555031,4.56094011167819
659455.595221723,4.57421150986299
665401.559888416,4.57421150986299
671347.524555108,4.5874829080478
760536.994555494,5.10506743725514
766482.959222186,5.14488163180955
772428.923888878,4.62729710260221
778374.888555571,5.17142442817917
784320.853222263,5.10506743725514
790266.817888955,5.11833883543995
796212.782555648,5.13161023362476
802158.74722234,5.14488163180955
808104.711889033,5.15815302999436
814050.676555725,5.15815302999436
819996.641222417,5.18469582636397
825942.60588911,5.18469582636397
831888.570555802,5.18469582636397
837834.535222494,5.21123862273357
843780.499889187,5.25105281728798
849726.464555879,5.3041384100272
855672.429222572,5.50320938279926
861618.393889264,5.38376679913603
867564.358555956,5.23778141910319
873510.323222649,5.23778141910319
879456.287889341,5.23778141910319
885402.252556033,5.25105281728798
891348.217222726,5.25105281728798
897294.181889418,5.25105281728798
903240.14655611,5.26432421547279
909186.111222803,5.26432421547279
915132.075889495,5.26432421547279
921078.040556188,5.26432421547279
927024.00522288,5.3041384100272
932969.969889572,5.35722400276642
938915.934556265,5.50320938279926
939906.92866738,4.82636807537426
944861.899222957,5.45012379006005
950807.86388965,5.3041384100272
956753.828556342,5.3041384100272
962699.793223034,5.31740980821201
968645.757889727,5.33068120639681
974591.722556419,5.34395260458162
980537.687223111,5.35722400276642
986483.651889804,5.35722400276642
992429.616556496,5.41030959550563
998375.581223189,5.47666658642965
1004321.54588988,5.6359233646473
1007790.02527878,4.98562485359191
1010267.51055657,5.33068120639681
1016213.47522327,5.45012379006005
1022159.43988996,5.45012379006005
1028105.40455665,5.46339518824485
1034051.36922334,5.48993798461446
1039997.33389004,5.48993798461446
1045943.29855673,5.50320938279926
1051889.26322342,5.52975217916887
1057835.22789011,5.54302357735367
1063781.1925568,5.54302357735367
1069727.1572235,5.56956637372328
1075673.12189019,5.60938056827769
1081619.08655688,5.6491947628321
1087565.05122357,5.88807993015858
1093511.01589027,5.94116552289779
1099456.98055696,5.6359233646473
1105402.94522365,5.6491947628321
1111348.90989034,5.66246616101691
1117294.87455704,5.68900895738651
1123240.83922373,5.71555175375612
1129186.80389042,5.74209455012573
1135132.76855711,5.75536594831053
1141078.73322381,5.83499433741936
1147024.6978905,5.90135132834337
1152970.66255719,5.99425111563701
1158916.62722388,6.16677929203945
1164862.59189057,6.04733670837622
1170808.55655727,5.95443692108259
1176754.52122396,5.9809797174522
1182700.48589065,6.03406531019142
1188646.45055734,6.07387950474583
1194592.41522404,6.11369369930024
1200538.37989073,6.16677929203945
1206484.34455742,6.21986488477867
1212430.30922411,6.29949327388749
1218376.27389081,6.36585026481151
1224322.2385575,6.43220725573553
1230268.20322419,6.29949327388749
1236214.16789088,6.29949327388749
1242160.13255758,6.51183564484435
1248106.09722427,6.56492123758357
1254052.06189096,6.6445496266924
1259998.02655765,6.71090661761641
1265943.99122435,6.79053500672524
1271889.95589104,6.88343479401886
1277835.92055773,6.28622187570269
1287745.86166888,6.89670619220367
1289727.84989111,6.89670619220367
1295673.81455781,6.97633458131249
1301619.7792245,7.05596297042131
1304592.76155785,7.05596297042131
1307565.74389119,7.12231996134533
1313511.70855788,7.13559135953013
1319457.67322458,7.0161487758669
1324412.64378015,7.21521974863896
1325403.63789127,7.24176254500856
1331349.60255796,7.30811953593258
1335313.57900242,7.3744765268566
1337295.56722465,7.46737631415023
1343241.53189135,7.54700470325906
1344728.02305802,7.53373330507425
1349187.49655804,7.61336169418308
1349187.49655804,7.6929900832919
1355133.46122473,7.93187525061837
1361079.42589142,7.85224686150954
1367025.39055812,7.89206105606395
1368016.38466923,7.85224686150954
1372971.35522481,7.93187525061837
1373962.34933592,8.01150363972719
1378917.3198915,7.99823224154238
1384863.28455819,8.09113202883601
1390809.24922488,7.97168944517278
1395268.7227249,8.17076041794483
1396755.21389158,8.18403181612964
1401214.6873916,8.33001719616248
1402701.17855827,8.34328859434729
1408647.14322496,8.50254537256493
1413106.61672498,8.48927397438013
1413602.11378054,8.64853075259777
1414593.10789165,8.60871655804336
1420539.07255835,8.68834494715219
1426485.03722504,9.04667269814189
1429953.51661394,8.80778753081542
1432431.00189173,9.03340129995708
1432926.49894729,9.12630108725071
1433421.99600285,8.96704430903306
1436394.97833619,9.28555786546836
1438376.96655842,9.13957248543552
1444322.93122512,9.47135744005561
1450268.89589181,9.31210066183797
1450764.39294737,9.44481464368601
1454728.36939183,9.60407142190365
1456214.8605585,9.82968519104531
1459683.33994741,10.0818417565566
1462160.82522519,9.98894196926296
1462656.32228075,9.7633282001213
1463151.81933631,9.92258497833895
1465133.80755854,10.2410985347742
1468106.78989189,10.055298960187
1474052.75455858,10.4667123039159
1477025.73689192,10.4003553129919
1479998.71922527,10.6525118785032
1480989.71333639,10.5596120912095
1484953.68978085,11.0373824258625
1485944.68389196,10.9444826385688
1485944.68389196,11.1966392040801
1487431.17505864,10.7188688694272
1488422.16916975,10.8781256476448
1490899.65444754,11.3558959822978
1491890.64855866,11.2099106022649
1497341.11616979,11.5151527605154
1497836.61322535,11.8336663169507
1499323.10439202,12.3114366516036
1499323.10439202,11.6744095387331
1501305.09261425,11.8336663169507
1502791.58378092,12.4706934298213
1503782.57789204,12.2318082624948
1504278.0749476,12.152179873386
1507746.5543365,11.9929230951683
1508242.05139206,12.6299502080389
1509728.54255873,13.3598771082031
1509728.54255873,13.4262340991272
1511710.53078096,13.5854908773448
1511710.53078096,12.7892069862566
1513197.02194764,12.9484637644742
1514683.51311431,13.2669773209095
1515674.50722542,13.4660482936816
1515674.50722542,14.7002883248683
1516170.00428098,13.1077205426919
1516665.50133654,13.7447476555625
1517656.49544766,15.8150857723919
1518151.99250321,15.3373154377389
1520133.98072544,14.859545103086
1520629.477781,14.5410315466507
1521124.97483656,15.6558289941742
1521124.97483656,15.1780586595213
1521124.97483656,14.0632612119977
1521124.97483656,13.9040044337801
1521620.47189212,15.4567580214022
1522115.96894768,16.2928561070448
1522115.96894768,14.2225179902154
1523602.46011435,14.381774768433
1524097.95716991,17.4076535545683
1524097.95716991,16.4521128852624
1524097.95716991,15.4965722159566
1525088.95128102,16.7706264416977
1525088.95128102,15.0188018813036
1526575.44244769,16.9298832199154
1526575.44244769,16.1335993288271
1527070.93950325,15.9743425506095
1527566.43655881,17.3545679618291
1528061.93361437,18.2039374456565
1528061.93361437,17.566910332786
1529052.92772548,19.3187348931801
1529052.92772548,18.0446806674389
1530539.41889216,16.6113696634801
1531034.91594771,18.8409645585271
1531034.91594771,17.089139998133
1531530.41300327,17.2483967763507
1532025.91005883,20.5927891189212
1532025.91005883,20.1150187842683
1532025.91005883,18.6817077803095
1532025.91005883,18.3631942238742
1533016.90416994,20.7520458971389
1533016.90416994,19.4779916713977
1533016.90416994,17.7261671110036
1533512.4012255,20.0221189969747
1534503.39533662,24.5742085743624
1534503.39533662,20.274275562486
1534503.39533662,17.8854238892213
1535494.38944773,26.9630602476271
1535494.38944773,21.5483297882271
1535989.88650329,18.5224510020918
1536485.38355885,22.503870457533
1536485.38355885,19.9557620060507
1536485.38355885,19.1594781149624
1536980.88061441,23.4594111268389
1536980.88061441,19.0002213367448
1537971.87472552,21.3890730100095
1538467.37178108,22.3446136793154
1538467.37178108,20.9113026753565
1538467.37178108,20.4335323407036
1539458.36589219,22.371156475685
1539458.36589219,25.5297492436683
1539458.36589219,19.796505227833
1539953.86294775,24.73346535258
1539953.86294775,23.3001543486212
1540449.36000331,27.918600916933
1540449.36000331,21.7075865664448
1540944.85705887,22.9816407921859
1540944.85705887,22.8223840139683
1541440.35411443,22.6631272357506
1541440.35411443,21.2298162317918
1541440.35411443,21.0705594535742
1541935.85116998,28.5556280298036
1541935.85116998,25.3704924654506
1541935.85116998,23.6186679050565
1541935.85116998,21.8668433446624
1542431.34822554,28.0778576951506
1542431.34822554,27.1223170258447
1542431.34822554,24.4149517961448
1542926.8452811,29.5111686991094
1542926.8452811,22.1853569010977
1542926.8452811,22.0261001228801
1543422.34233666,23.9371814614918
1543917.83939221,26.8038034694094
1543917.83939221,24.0964382397095
1543917.83939221,23.7779246832742
1544413.33644777,27.7593441387153
1544413.33644777,25.6890060218859
1544908.83350333,28.7148848080212
1544908.83350333,24.2556950179271
1545404.33055889,26.2331333474629
1545404.33055889,28.2371144733683
1545404.33055889,26.1667763565389
1545404.33055889,26.0075195783212
1545404.33055889,25.211235687233
1545404.33055889,25.0519789090153
1545899.82761444,29.6704254773271
1545899.82761444,26.4852899129742
1545899.82761444,26.3260331347565
1545899.82761444,25.8482628001036
1546890.82172556,27.44083058228
1546890.82172556,27.2815738040624
1547386.31878112,27.6000873604977
1547881.81583668,29.3519119208918
1549368.30700335,28.8741415862388
1551350.29522558,29.2324693372286
1551845.79228114,29.8296822555447
1551845.79228114,29.1926551426741
1552341.28933669,29.0333983644565
1557296.25989227,25.6491918273315
1558782.75105894,29.9889390337624
