dK,dadN
3.60968766199408,2.13607527095287e-09
3.72227013736075,4.0193487577386e-09
3.88165815514252,5.4891695194312e-09
4.0301260122033,5.94019851942013e-09
4.24267885940133,7.2573738438598e-09
4.40712879277283,8.31772903198249e-09
4.56182575061488,1.00499761096053e-08
4.78986555894343,1.20923015204974e-08
4.91785250484029,1.44355013528627e-08
5.0329745661008,1.83998550834752e-08
5.36879044423757,2.29326987380955e-08
5.69533557207321,1.83595298825588e-08
5.72356892740921,2.44175331927239e-08
6.05671237151292,3.80425815247594e-08
6.70961619438829,5.93259073352418e-08
7.07073777248904,8.24962505664363e-08
7.65878021386695,1.17072385347537e-07
8.07243822388702,1.43065020726211e-07
8.40967810208739,1.55513746923207e-07
8.54673537424746,1.99726989205608e-07
9.1777748943325,2.55219522375055e-07
9.65520330326978,2.95090641781742e-07
10.5901532024585,4.04070291508224e-07
12.1299010289835,5.41695523412168e-07
12.8066918950872,4.30164786665677e-07
13.5609763796866,5.21986911797682e-07
13.984299253185,7.36749001020186e-07
14.4643770471792,9.38261425807194e-07
