dK,dadN
4.09096462179741,7.24322504077036e-09
4.21792575178856,8.35189027189289e-09
4.36533529396394,1.03732425774272e-08
4.71474030309343,1.71831372507184e-08
5.15902316292783,2.79788069514752e-08
5.52027117383012,4.10794667962788e-08
6.0672210471847,6.68383660511556e-08
6.50485005326794,1.01418722149683e-07
6.96418496979453,1.62573716860427e-07
7.28840951551433,2.26533847543848e-07
7.71252424693168,2.84025597832294e-07
8.10450697195331,3.51083328238321e-07
8.42135964107388,4.088041945179e-07
9.08494699124465,5.67040350486634e-07
9.49740058142818,7.28999070366357e-07
9.9720292983871,9.0647645025293e-07
10.5811950444832,1.11222025755849e-06
11.4418416564165,1.3299396662726e-06
12.4901643266576,1.29260924544318e-06
