dK,dadN
3.43809026991178,1.47018539321487e-09
3.47972972687976,2.56530696912694e-09
3.58062541096536,3.10000567170246e-09
3.63442267632857,3.90295254839967e-09
3.83390082821316,3.94945199430837e-09
3.89281139156328,4.93130081223717e-09
4.06163468397718,5.98620051405242e-09
4.13811643930846,4.48713915461661e-09
4.30692008611122,8.60698761457934e-09
4.63219577467941,1.16142174056266e-08
4.87735652780209,1.4411193145341e-08
5.2271908271112,1.8530553089146e-08
5.69569545610658,1.99110702962837e-08
6.05823283444986,3.07065191126436e-08
6.56564568277638,4.01951491147051e-08
6.89491219327444,5.99541254607192e-08
7.43365425221864,9.02837036607052e-08
7.9231013543965,1.23338774294866e-07
8.19993603822443,1.54644086102543e-07
8.49124470147365,1.68301372668803e-07
8.9280251462316,2.19834159244886e-07
9.34480803659426,2.69578634298982e-07
9.9782677514084,3.48329819137674e-07
10.392310329285,3.85970621621088e-07
10.7642551332142,4.46392622375871e-07
11.266085264758,4.98123977968202e-07
11.6457341718054,5.75783376171544e-07
12.0972892729155,5.95169599208803e-07
12.8114794955932,6.73808868015681e-07
13.4057419130958,8.8246828074563e-07
14.0218945048058,1.03253500368887e-06
14.3987750255891,1.42843231092427e-06
