N,a
21092.2050600725,4.04970349680622
22290.8284206851,3.99280588740125
71434.3862058015,4.13504991091368
78626.1263694771,4.14927431326493
85817.8665331526,4.17772311796741
93009.6066968283,4.2061719226699
100201.346860504,4.23462072737238
107393.087024179,4.26306953207487
114584.827187855,4.29151833677736
121776.567351531,4.3057427391286
128968.307515206,4.43376236028978
164927.008333584,4.6044551885047
172118.74849726,4.46221116499227
179310.488660935,4.47643556734351
186502.228824611,4.47643556734351
193693.968988286,4.504884372046
200885.709151962,4.504884372046
208077.449315637,4.504884372046
236844.40997034,4.84627002847583
244036.150134015,4.53333317674849
251227.890297691,4.83204562612459
258419.630461366,4.98851405198826
301570.07144342,4.73247480966589
308761.811607096,4.87471883317831
323145.291934447,4.87471883317831
359103.992752825,4.9031676378808
387870.953407527,4.93161644258329
395062.693571202,4.93161644258329
402254.433734878,4.93161644258329
431021.39438958,4.96006524728578
438213.134553256,4.96006524728578
445404.874716931,4.96006524728578
466980.095207958,4.91739204023204
502938.796026336,4.87471883317831
517322.276353687,4.81782122377334
524514.016517363,4.81782122377334
531705.756681038,4.84627002847583
582047.937826768,4.97428964963702
589239.677990443,4.97428964963702
596431.418154119,5.0027384543395
603623.158317794,5.01696285669075
610814.89848147,5.01696285669075
618006.638645145,5.04541166139323
625198.378808821,5.05963606374448
632390.118972497,5.07386046609572
639581.859136172,5.1023092707982
646773.599299848,5.11653367314945
653965.339463523,5.04541166139323
661157.079627199,4.94584084493453
668348.819790874,4.98851405198826
675540.55995455,4.98851405198826
682732.300118226,4.97428964963702
689924.040281901,5.04541166139323
704307.520609252,5.18765568490566
711499.260772928,5.24455329431063
718691.000936603,5.37257291547182
725882.741100279,5.40102172017431
733074.481263955,5.44369492722804
740266.22142763,5.48636813428176
747457.961591306,5.47214373193052
754649.701754981,5.47214373193052
761841.441918657,5.47214373193052
769033.182082332,5.48636813428176
776224.922246008,5.50059253663301
783416.662409684,5.69973416955041
790608.402573359,5.74240737660413
797800.142737035,5.78508058365787
804991.88290071,5.87042699776532
825368.480031125,5.87042699776532
833758.843555413,6.06956863068272
840950.583719088,6.06956863068272
846943.700522151,6.21181265419516
848142.323882764,6.06956863068272
855334.064046439,6.33983227535634
862525.804210115,6.45362749416628
869717.544373791,6.61009592002996
876909.284537466,6.6243203223812
884101.024701142,6.6243203223812
891292.764864817,6.6243203223812
898484.505028493,6.6243203223812
905676.245192169,6.63854472473244
912867.985355844,6.73811554119114
920059.72551952,6.85191076000109
927251.465683195,6.73811554119114
934443.205846871,7.07950119762097
941634.946010546,7.09372559997222
948826.686174222,7.06527679526973
