dK,dadN
3.43982518196557,1.45602881806339e-09
3.48039829252794,2.53026279063737e-09
3.57924180550854,3.08569297672422e-09
3.6307960686333,3.85974970832142e-09
3.83620988616269,3.93559908671084e-09
3.89165531804203,4.87054556185424e-09
4.13166934125371,4.49780830780175e-09
4.3151481131074,8.5571730717733e-09
4.63447110062945,1.16136151578716e-08
5.22429410778956,1.84766361715368e-08
6.05704746292165,3.06588293646706e-08
6.58310873103426,4.07255641760277e-08
6.91126136378375,5.95322965198755e-08
7.42953101962966,8.81475619841105e-08
7.92052852265236,1.23148880057212e-07
8.20839098649088,1.54263359943738e-07
8.51971763781039,1.66417442132876e-07
8.92589866630456,2.17431981953682e-07
9.37208772318768,2.60861241098847e-07
9.97456837707006,3.4691771911357e-07
10.3941767937414,3.77321977961566e-07
10.7709363981549,4.42929737609585e-07
11.2574128509439,4.93508851112037e-07
11.6141739081675,5.62195333376504e-07
12.2352459984428,5.99101474864362e-07
12.8022835682953,6.72909936027957e-07
13.4092848458921,8.77078699400546e-07
14.0329209003537,1.02365099805007e-06
14.3997411771599,1.4283131005285e-06
